Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Fraction,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,TREATMENT,Cell_type,Tissue
SRR15513167,RNA-Seq,27,1376441673,PRJNA756018,SAMN20849948,695751856,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX11811961,ribosome-protected mRNA fragments,GSM5527692,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527692,TGF-beta treated normal human fibroblast,SRP333128,TGF-B stimulated,Fibroblast,
SRR15513168,RNA-Seq,28,1092081096,PRJNA756018,SAMN20849949,547592807,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX11811962,ribosome-protected mRNA fragments,GSM5527693,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527693,TGF-beta + anti-IL-11 antibody treated normal human fibroblast,SRP333128,TGF-B stimulated and anti-IL11 antibody treatment,Fibroblast,
SRR15513169,RNA-Seq,28,1212073587,PRJNA756018,SAMN20849902,614041768,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX11811963,ribosome-protected mRNA fragments,GSM5527694,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527694,TGF-beta + anti-Ig-G antibody treated normal human fibroblast,SRP333128,TGF-B stimulated and anti-IgG antibody treatment,Fibroblast,
SRR15513170,RNA-Seq,35,1048162172,PRJNA756018,SAMN20849907,421723364,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX11811964,ribosome-protected mRNA fragments,GSM5527695,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527695,untreated normal human fibroblast,SRP333128,untreated,Fibroblast,
SRR15513171,RNA-Seq,35,1161567057,PRJNA756018,SAMN20849908,460656770,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX11811965,ribosome-protected mRNA fragments,GSM5527696,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527696,IL11 treated normal human fibroblast,SRP333128,IL11 stimulated,Fibroblast,
SRR15513172,RNA-Seq,35,1075740067,PRJNA756018,SAMN20849909,431203369,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX11811966,ribosome-protected mRNA fragments,GSM5527697,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527697,untreated normal human fibroblast,SRP333128,untreated,Fibroblast,
SRR15513173,RNA-Seq,35,1070359862,PRJNA756018,SAMN20849910,438912299,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX11811967,ribosome-protected mRNA fragments,GSM5527698,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527698,IL11 treated normal human fibroblast,SRP333128,IL11 stimulated,Fibroblast,
SRR15513174,RNA-Seq,30,1833142581,PRJNA756018,SAMN20849911,891562870,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX11811968,ribosome-protected mRNA fragments,GSM5527699,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527699,untreated normal human fibroblast,SRP333128,untreated,Fibroblast,
SRR15513175,RNA-Seq,29,932687749,PRJNA756018,SAMN20849912,415019988,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX11811969,ribosome-protected mRNA fragments,GSM5527700,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527700,IL11 treated normal human fibroblast,SRP333128,IL11 stimulated,Fibroblast,
SRR15513176,RNA-Seq,29,970372482,PRJNA756018,SAMN20849913,483266836,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX11811970,ribosome-protected mRNA fragments,GSM5527701,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527701,TGF-beta treated normal human fibroblast,SRP333128,TGF-B stimulated,Fibroblast,
SRR15513177,RNA-Seq,29,1028130547,PRJNA756018,SAMN20849914,458652270,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX11811971,ribosome-protected mRNA fragments,GSM5527702,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527702,TGF-beta + anti-IL-11 antibody treated normal human fibroblast,SRP333128,TGF-B stimulated and anti-IL11 antibody treatment,Fibroblast,
SRR15513178,RNA-Seq,30,1250265835,PRJNA756018,SAMN20849872,610841117,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX11811972,ribosome-protected mRNA fragments,GSM5527703,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527703,TGF-beta + anti-Ig-G antibody treated normal human fibroblast,SRP333128,TGF-B stimulated and anti-IgG antibody treatment,Fibroblast,
SRR15513179,RNA-Seq,29,830410100,PRJNA756018,SAMN20849873,401622779,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX11811973,ribosome-protected mRNA fragments,GSM5527704,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527704,untreated normal human fibroblast,SRP333128,untreated,Fibroblast,
SRR15513180,RNA-Seq,35,1102005267,PRJNA756018,SAMN20849874,456039044,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX11811974,ribosome-protected mRNA fragments,GSM5527705,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527705,untreated normal human fibroblast,SRP333128,untreated,Fibroblast,
SRR15513181,RNA-Seq,28,755801229,PRJNA756018,SAMN20849875,369145267,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX11811975,ribosome-protected mRNA fragments,GSM5527706,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527706,IL11 treated normal human fibroblast,SRP333128,IL11 stimulated,Fibroblast,
SRR15513182,RNA-Seq,35,1069341179,PRJNA756018,SAMN20849876,439830783,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX11811976,ribosome-protected mRNA fragments,GSM5527707,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527707,IL11 treated normal human fibroblast,SRP333128,IL11 stimulated,Fibroblast,
SRR15513183,RNA-Seq,28,1121450025,PRJNA756018,SAMN20849877,550176525,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX11811977,ribosome-protected mRNA fragments,GSM5527708,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527708,TGF-beta treated normal human fibroblast,SRP333128,TGF-B stimulated,Fibroblast,
SRR15513184,RNA-Seq,28,731678069,PRJNA756018,SAMN20849878,360188613,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX11811978,ribosome-protected mRNA fragments,GSM5527709,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527709,TGF-beta + anti-IL-11 antibody treated normal human fibroblast,SRP333128,TGF-B stimulated and anti-IL11 antibody treatment,Fibroblast,
SRR15513185,RNA-Seq,28,870492756,PRJNA756018,SAMN20849879,427802088,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX11811979,ribosome-protected mRNA fragments,GSM5527710,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527710,TGF-beta + anti-Ig-G antibody treated normal human fibroblast,SRP333128,TGF-B stimulated and anti-IgG antibody treatment,Fibroblast,
SRR15513186,RNA-Seq,28,959982777,PRJNA756018,SAMN20849880,471486400,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX11811980,ribosome-protected mRNA fragments,GSM5527711,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527711,untreated normal human fibroblast,SRP333128,untreated,Fibroblast,
SRR15513187,RNA-Seq,29,1955385940,PRJNA756018,SAMN20849881,939037786,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX11811981,ribosome-protected mRNA fragments,GSM5527712,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527712,IL11 treated normal human fibroblast,SRP333128,IL11 stimulated,Fibroblast,
SRR15513188,RNA-Seq,28,762018618,PRJNA756018,SAMN20849882,373066467,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX11811982,ribosome-protected mRNA fragments,GSM5527713,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527713,TGF-beta treated normal human fibroblast,SRP333128,TGF-B stimulated,Fibroblast,
SRR15513189,RNA-Seq,28,654126423,PRJNA756018,SAMN20849883,320778019,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX11811983,ribosome-protected mRNA fragments,GSM5527714,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527714,TGF-beta + anti-IL-11 antibody treated normal human fibroblast,SRP333128,TGF-B stimulated and anti-IL11 antibody treatment,Fibroblast,
SRR15513190,RNA-Seq,28,777562555,PRJNA756018,SAMN20849884,380766424,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX11811984,ribosome-protected mRNA fragments,GSM5527715,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527715,TGF-beta + anti-Ig-G antibody treated normal human fibroblast,SRP333128,TGF-B stimulated and anti-IgG antibody treatment,Fibroblast,
SRR15513191,RNA-Seq,35,1080851272,PRJNA756018,SAMN20849885,441264407,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX11811985,ribosome-protected mRNA fragments,GSM5527716,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527716,untreated normal human fibroblast,SRP333128,untreated,Fibroblast,
SRR15513192,RNA-Seq,35,1111627496,PRJNA756018,SAMN20849886,459359184,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX11811986,ribosome-protected mRNA fragments,GSM5527717,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527717,IL11 treated normal human fibroblast,SRP333128,IL11 stimulated,Fibroblast,
SRR15513193,RNA-Seq,35,1071209829,PRJNA756018,SAMN20849887,435974867,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX11811987,ribosome-protected mRNA fragments,GSM5527718,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527718,untreated normal human fibroblast,SRP333128,untreated,Fibroblast,
SRR15513194,RNA-Seq,35,1085521331,PRJNA756018,SAMN20849888,440613527,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX11811988,ribosome-protected mRNA fragments,GSM5527719,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527719,IL11 treated normal human fibroblast,SRP333128,IL11 stimulated,Fibroblast,
SRR15513195,RNA-Seq,35,1023706223,PRJNA756018,SAMN20849889,410285379,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX11811989,ribosome-protected mRNA fragments,GSM5527720,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527720,untreated normal human fibroblast,SRP333128,untreated,Fibroblast,
SRR15513196,RNA-Seq,35,1095860084,PRJNA756018,SAMN20849890,450121471,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX11811990,ribosome-protected mRNA fragments,GSM5527721,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527721,IL11 treated normal human fibroblast,SRP333128,IL11 stimulated,Fibroblast,
SRR15513197,RNA-Seq,35,1242167524,PRJNA756018,SAMN20849891,541097880,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX11811991,ribosome-protected mRNA fragments,GSM5527722,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527722,untreated human aortic endothelial cells,SRP333128,untreated,HA_EC,
SRR15513198,RNA-Seq,35,1216179719,PRJNA756018,SAMN20849892,525245810,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX11811992,ribosome-protected mRNA fragments,GSM5527723,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527723,untreated human aortic endothelial cells,SRP333128,untreated,HA_EC,
SRR15513199,RNA-Seq,35,1009471215,PRJNA756018,SAMN20849893,444778463,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX11811993,ribosome-protected mRNA fragments,GSM5527724,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527724,untreated human aortic endothelial cells,SRP333128,untreated,HA_EC,
SRR15513200,RNA-Seq,35,1966843094,PRJNA756018,SAMN20849894,903567324,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX11811994,ribosome-protected mRNA fragments,GSM5527725,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527725,untreated human aortic endothelial cells,SRP333128,untreated,HA_EC,
SRR15513201,RNA-Seq,35,907382819,PRJNA756018,SAMN20849895,419310153,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX11811995,ribosome-protected mRNA fragments,GSM5527726,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527726,untreated human aortic endothelial cells,SRP333128,untreated,HA_EC,
SRR15513202,RNA-Seq,35,679627869,PRJNA756018,SAMN20849896,315812291,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX11811996,ribosome-protected mRNA fragments,GSM5527727,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527727,untreated human aortic endothelial cells,SRP333128,untreated,HA_EC,
SRR15513203,RNA-Seq,35,6820098338,PRJNA756018,SAMN20849897,3059108760,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX11811997,ribosome-protected mRNA fragments,GSM5527728,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527728,untreated human coronary artery endothelial cells,SRP333128,untreated,HCAEC,
SRR15513204,RNA-Seq,35,1265580935,PRJNA756018,SAMN20849898,614582310,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX11811998,ribosome-protected mRNA fragments,GSM5527729,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527729,untreated human coronary artery endothelial cells,SRP333128,untreated,HCAEC,
SRR15513205,RNA-Seq,35,8516293653,PRJNA756018,SAMN20849899,3814502830,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX11811999,ribosome-protected mRNA fragments,GSM5527730,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527730,untreated human coronary artery endothelial cells,SRP333128,untreated,HCAEC,
SRR15513206,RNA-Seq,35,1482846135,PRJNA756018,SAMN20849900,720597179,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX11812000,ribosome-protected mRNA fragments,GSM5527731,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527731,untreated human coronary artery endothelial cells,SRP333128,untreated,HCAEC,
SRR15513207,RNA-Seq,35,1408936189,PRJNA756018,SAMN20849901,692214201,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX11812001,ribosome-protected mRNA fragments,GSM5527732,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527732,untreated human coronary artery endothelial cells,SRP333128,untreated,HCAEC,
SRR15513208,RNA-Seq,35,6424917495,PRJNA756018,SAMN20849925,2986328643,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX11812002,ribosome-protected mRNA fragments,GSM5527733,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527733,untreated normal human hepatocytes,SRP333128,untreated,Hepatocytes,
SRR15513209,RNA-Seq,35,5014305398,PRJNA756018,SAMN20849926,2264141660,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX11812003,ribosome-protected mRNA fragments,GSM5527734,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527734,untreated normal human hepatocytes,SRP333128,untreated,Hepatocytes,
SRR15513210,RNA-Seq,35,11427255375,PRJNA756018,SAMN20849927,5163925640,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX11812004,ribosome-protected mRNA fragments,GSM5527735,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527735,untreated normal human hepatocytes,SRP333128,untreated,Hepatocytes,
